Name,RequiredExpLevel,RequiredTotalTrophies,RequiredSeasonPoints,RequiredHero,IconSWF,IconExportName,SortOrder,IsReward,IsAvailableForOffers
hero30,0,0,,Mummy,sc/ui.sc,player_icon_emz,111,,
hero31,0,0,,BeeSniper,sc/ui.sc,player_icon_bea,405,,
hero32,0,0,,Speedy,sc/ui.sc,player_icon_max,504,,
hero33,0,0,,SpawnerDude,sc/ui.sc,player_icon_mrp,505,,
hero34,0,0,,Driller,sc/ui.sc,player_icon_jacky,305,,
hero35,0,0,,Wally,sc/ui.sc,player_icon_sprout,506,,
hero36,0,0,,Blower,sc/ui.sc,player_icon_gale,701,,
hero37,0,0,,Controller,sc/ui.sc,player_icon_nani,406,,
hero38,0,0,,PowerLeveler,sc/ui.sc,player_icon_surge,702,,
hero39,0,0,,Percenter,sc/ui.sc,player_icon_colette,703,,
hero40,0,0,,FireDude,sc/ui.sc,player_icon_amber,605,,
hero41,0,0,,IceDude,sc/ui.sc,player_icon_lou,704,,
hero42,0,0,,SnakeOil,sc/ui.sc,player_icon_byron,507,,
hero43,0,0,,Enrager,sc/ui.sc,player_icon_edgar,407,,
hero44,0,0,,Ruffs,sc/ui.sc,player_icon_ruffs,705,,
rank01,0,0,,,sc/ui.sc,player_icon_starrforce_01,1000,,
rank02,0,0,,,sc/ui.sc,player_icon_starrforce_02,1001,,
hero45,0,0,,Roller,sc/ui.sc,player_icon_stu,112,,
rank03,0,0,,,sc/ui.sc,player_icon_actionshow_01,1002,,
rank04,0,0,,,sc/ui.sc,player_icon_actionshow_02,1003,,
hero46,0,0,,ElectroSniper,sc/ui.sc,player_icon_belle,706,,
hero47,0,0,,StickyBomb,sc/ui.sc,player_icon_squeak,508,,
hero48,0,0,,RopeDude,sc/ui.sc,player_icon_buzz,707,,
hero49,0,0,,AssaultShotgun,sc/ui.sc,player_icon_griff,408,,
rank05,0,0,,,sc/ui.sc,player_icon_velocirapids_01,1004,,
rank06,0,0,,,sc/ui.sc,player_icon_velocirapids_02,1005,,
hero50,0,0,,Knight,sc/ui.sc,player_icon_ash,708,,
rank07,0,0,,,sc/ui.sc,player_icon_ft_01,1006,,
rank08,0,0,,,sc/ui.sc,player_icon_ft_02,1007,,
hero51,0,0,,MechaDude,sc/ui.sc,player_icon_meg,606,,
hero52,0,0,,Duplicator,sc/ui.sc,player_icon_lolla,709,,
rank09,0,0,,,sc/ui.sc,player_icon_bw_01,1008,,
rank10,0,0,,,sc/ui.sc,player_icon_bw_02,1009,,
rank11,0,0,,,sc/ui.sc,player_icon_lny2022_01,1010,,
rank12,0,0,,,sc/ui.sc,player_icon_lny2022_02,1011,,
hero53,0,0,,CrossBomber,sc/ui.sc,player_icon_grom,409,,
hero54,0,0,,KickerDude,sc/ui.sc,player_icon_fang,710,,
hero55,0,0,,Flea,sc/ui.sc,player_icon_eve,711,,
rank13,0,0,,,sc/ui.sc,player_icon_biodome_01,1012,,
rank14,0,0,,,sc/ui.sc,player_icon_biodome_02,1013,,
hero56,0,0,,JetpackGirl,sc/ui.sc,player_icon_janet,712,,
hero57,0,0,,CannonGirl,sc/ui.sc,player_icon_bonnie,410,,
rank15,0,0,,,sc/ui.sc,player_icon_stuntshow_01,1014,,
rank16,0,0,,,sc/ui.sc,player_icon_stuntshow_02,1015,,
player_icon_tick1,0,0,,,sc/ui.sc,player_icon_tick1,2001,,
player_icon_stu1,0,0,,,sc/ui.sc,player_icon_stu1,2002,,
player_icon_shelly1,0,0,,,sc/ui.sc,player_icon_shelly1,2003,,
player_icon_nita1,0,0,,,sc/ui.sc,player_icon_nita1,2004,,
player_icon_jessie1,0,0,,,sc/ui.sc,player_icon_jessie1,2005,,
player_icon_emz1,0,0,,,sc/ui.sc,player_icon_emz1,2006,,
player_icon_dynamike1,0,0,,,sc/ui.sc,player_icon_dynamike1,2007,,
player_icon_colt1,0,0,,,sc/ui.sc,player_icon_colt1,2008,,
player_icon_bull1,0,0,,,sc/ui.sc,player_icon_bull1,2009,,
player_icon_brock1,0,0,,,sc/ui.sc,player_icon_brock1,2010,,
player_icon_bo1,0,0,,,sc/ui.sc,player_icon_bo1,2011,,
player_icon_8bit1,0,0,,,sc/ui.sc,player_icon_8bit1,2012,,
player_icon_villains,0,0,,,sc/ui.sc,player_icon_villains,3001,,
player_icon_stuntshow,0,0,,,sc/ui.sc,player_icon_stuntshow,3002,,
player_icon_lantern,0,0,,,sc/ui.sc,player_icon_lantern,3003,,
player_icon_goldenweek,0,0,,,sc/ui.sc,player_icon_goldenweek,3004,,
hero58,0,0,,Silencer,sc/ui.sc,player_icon_otis,712,,
rank17,0,0,,,sc/ui.sc,player_icon_deepsea_01,1016,,
rank18,0,0,,,sc/ui.sc,player_icon_deepsea_02,1017,,
player_icon_ruffs_bt21,0,0,,,sc/ui.sc,player_icon_ruffs_bt21,4001,,
player_icon_bull_bt21,0,0,,,sc/ui.sc,player_icon_bull_bt21,4002,,
player_icon_bibi_bt21,0,0,,,sc/ui.sc,player_icon_bibi_bt21,4003,,
player_icon_edgar_bt21,0,0,,,sc/ui.sc,player_icon_edgar_bt21,4004,,
player_icon_sandy_bt21,0,0,,,sc/ui.sc,player_icon_sandy_bt21,4005,,
player_icon_tick_bt21,0,0,,,sc/ui.sc,player_icon_tick_bt21,4006,,
player_icon_jacky_bt21,0,0,,,sc/ui.sc,player_icon_jacky_bt21,4007,,
player_icon_deepsea,0,0,,,sc/ui.sc,player_icon_deepsea,3005,,
player_icon_primo1,0,0,,,sc/ui.sc,player_icon_primo1,2013,,
player_icon_barley1,0,0,,,sc/ui.sc,player_icon_barley1,2014,,
player_icon_rosa1,0,0,,,sc/ui.sc,player_icon_rosa1,2015,,
player_icon_poco1,0,0,,,sc/ui.sc,player_icon_poco1,2016,,
player_icon_darryl1,0,0,,,sc/ui.sc,player_icon_darryl1,2017,,
player_icon_penny1,0,0,,,sc/ui.sc,player_icon_penny1,2018,,
player_icon_carl1,0,0,,,sc/ui.sc,player_icon_carl1,2019,,
player_icon_rico1,0,0,,,sc/ui.sc,player_icon_rico1,2020,,
player_icon_jacky1,0,0,,,sc/ui.sc,player_icon_jacky1,2020,,
player_icon_badrandoms,0,0,,,sc/ui.sc,player_icon_badrandoms,3006,,
player_icon_pirates,0,0,,,sc/ui.sc,player_icon_pirates,3007,,
rank19,0,0,,,sc/ui.sc,player_icon_lola_outlaw_01,1018,,
rank20,0,0,,,sc/ui.sc,player_icon_lola_outlaw_02,1019,,
player_icon_mortis_mecha,0,0,,,sc/ui.sc,player_icon_mortis_mecha,4008,,
player_icon_outlaw,0,0,,,sc/ui.sc,player_icon_outlaw,3008,,
player_icon_esports_intz,0,0,,,sc/ui.sc,player_icon_esports_intz,5001,,
player_icon_esports_navi,0,0,,,sc/ui.sc,player_icon_esports_navi,5002,,
player_icon_esports_obey,0,0,,,sc/ui.sc,player_icon_esports_obey,5003,,
player_icon_esports_qlash,0,0,,,sc/ui.sc,player_icon_esports_qlash,5004,,
player_icon_esports_sk,0,0,,,sc/ui.sc,player_icon_esports_sk,5005,,
player_icon_esports_stmn,0,0,,,sc/ui.sc,player_icon_esports_stmn,5006,,
player_icon_esports_tq,0,0,,,sc/ui.sc,player_icon_esports_tq,5007,,
player_icon_esports_tribe,0,0,,,sc/ui.sc,player_icon_esports_tribe,5008,,
player_icon_esports_zeta,0,0,,,sc/ui.sc,player_icon_esports_zeta,5009,,
player_icon_esports_totem,0,0,,,sc/ui.sc,player_icon_esports_totem,5010,,
player_icon_mecha,0,0,,,sc/ui.sc,player_icon_mecha,3009,,
player_icon_robot_colt,0,0,,,sc/ui.sc,player_icon_robot_colt,3010,,
player_icon_robots_1,0,0,,,sc/ui.sc,player_icon_robots_1,3011,,
player_icon_robots_2,0,0,,,sc/ui.sc,player_icon_robots_2,3012,,
player_icon_robots_3,0,0,,,sc/ui.sc,player_icon_robots_3,3013,,
player_icon_robots_4,0,0,,,sc/ui.sc,player_icon_robots_4,3014,,
player_icon_claw,0,0,,,sc/ui.sc,player_icon_claw,3015,,
player_icon_defeat_them_all,0,0,,,sc/ui.sc,player_icon_defeat_them_all,3016,,
hero59,0,0,,WeaponThrower,sc/ui.sc,player_icon_bronson,713,,
hero60,0,0,,SoulCollector,sc/ui.sc,player_icon_gus,411,,
player_icon_leon_ghost,0,0,,,sc/ui.sc,player_icon_leon_ghost,4009,,
